YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2017,5,17,5,72.18
2017,5,17,6,242.68
2017,5,17,7,451.22
2017,5,17,8,589.09
2017,5,17,9,680.48
2017,5,17,10,750.53
2017,5,17,11,782.71
2017,5,17,12,660.78
2017,5,17,13,627.23
2017,5,17,14,542.01
2017,5,17,15,426.0
2017,5,17,16,420.58
2017,5,17,17,238.38
2017,5,17,18,57.34
2017,5,17,19,0.0
2017,5,17,20,0.0
2017,5,17,21,0.0
2017,5,17,22,0.0
2017,5,17,23,0.0
2017,5,18,0,0.0
2017,5,18,1,0.0
2017,5,18,2,0.0
2017,5,18,3,0.0
2017,5,18,4,0.0
2017,5,18,5,65.69
2017,5,18,6,217.27
2017,5,18,7,401.67
2017,5,18,8,561.52
2017,5,18,9,588.49
2017,5,18,10,767.18
2017,5,18,11,512.88
2017,5,18,12,624.38
2017,5,18,13,255.63
2017,5,18,14,417.77
2017,5,18,15,417.09
2017,5,18,16,329.04
2017,5,18,17,172.65
2017,5,18,18,44.88
2017,5,18,19,0.0
2017,5,18,20,0.0
2017,5,18,21,0.0
2017,5,18,22,0.0
2017,5,18,23,0.0
2017,5,19,0,0.0
2017,5,19,1,0.0
2017,5,19,2,0.0
2017,5,19,3,0.0
2017,5,19,4,0.0
2017,5,19,5,83.41
2017,5,19,6,278.09
2017,5,19,7,480.17
2017,5,19,8,670.22
2017,5,19,9,823.8
2017,5,19,10,927.86
2017,5,19,11,905.96
2017,5,19,12,961.45
2017,5,19,13,912.33
2017,5,19,14,802.43
2017,5,19,15,655.9
2017,5,19,16,470.68
2017,5,19,17,269.45
2017,5,19,18,78.1
2017,5,19,19,0.0
2017,5,19,20,0.0
2017,5,19,21,0.0
2017,5,19,22,0.0
2017,5,19,23,0.0
2017,5,20,0,0.0
2017,5,20,1,0.0
2017,5,20,2,0.0
2017,5,20,3,0.0
2017,5,20,4,0.0
2017,5,20,5,82.84
2017,5,20,6,273.93
2017,5,20,7,475.34
2017,5,20,8,654.03
2017,5,20,9,804.56
2017,5,20,10,914.71
2017,5,20,11,964.7
2017,5,20,12,961.79
2017,5,20,13,911.79
2017,5,20,14,806.23
2017,5,20,15,654.79
2017,5,20,16,471.97
2017,5,20,17,273.52
2017,5,20,18,79.41
2017,5,20,19,0.0
2017,5,20,20,0.0
2017,5,20,21,0.0
2017,5,20,22,0.0
2017,5,20,23,0.0
2017,5,21,0,0.0
2017,5,21,1,0.0
2017,5,21,2,0.0
2017,5,21,3,0.0
2017,5,21,4,0.0
2017,5,21,5,44.03
2017,5,21,6,149.81
2017,5,21,7,279.55
2017,5,21,8,413.78
2017,5,21,9,590.69
2017,5,21,10,772.28
2017,5,21,11,696.41
2017,5,21,12,686.27
2017,5,21,13,542.86
2017,5,21,14,374.11
2017,5,21,15,252.16
2017,5,21,16,194.27
2017,5,21,17,110.83
2017,5,21,18,24.16
2017,5,21,19,0.0
2017,5,21,20,0.0
2017,5,21,21,0.0
2017,5,21,22,0.0
2017,5,21,23,0.0
2017,5,22,0,0.0
2017,5,22,1,0.0
2017,5,22,2,0.0
2017,5,22,3,0.0
2017,5,22,4,0.0
2017,5,22,5,56.55
2017,5,22,6,214.52
2017,5,22,7,389.07
2017,5,22,8,572.75
2017,5,22,9,756.93
2017,5,22,10,863.27
2017,5,22,11,926.8
